amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,Alpha,Beta,Max_Drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score,Tracking_Error
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,0.04801595363775955,-0.06695117463929198,-0.5167775370852656,4.0,32.0,37.0,17.0,39.0,75.63576702214932,0.2857813336985091
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,0.1513635464823924,-0.001433521389780139,-0.1165062450540909,32.0,22.5,23.0,13.0,10.0,74.73338802296965,0.18307639338664936
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,26.0,26.5,10.0,30.5,17.0,74.48728465955702,0.19118256851630816
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,0.03747580763443281,-0.05826843143880891,-0.24734440880673303,16.0,7.5,39.0,32.0,34.0,74.40525020508616,0.19928360293890288
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,27.0,26.5,22.0,5.5,26.0,73.99507793273176,0.19344939246000745
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,0.1750072167561127,0.10349663691337589,-0.2334488614483311,5.0,35.5,18.0,28.5,32.0,70.38556193601313,0.2772863739829558
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,38.0,5.0,34.0,9.0,5.0,69.89335520918787,0.1356464526704048
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,40.0,3.0,33.0,11.0,3.0,69.89335520918787,0.1289568921773665
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,15.0,38.5,9.0,17.0,28.0,69.81132075471699,0.23765197701108368
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,0.05074772999976104,0.0012566742731558475,-0.08316361763638702,39.0,6.0,35.0,1.0,6.0,68.74487284659557,0.1347582682889032
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,0.16211256794033255,0.016682689437770806,-0.21539827112383225,13.0,15.0,21.0,39.5,30.0,68.17063166529944,0.20221623215661824
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,3.0,24.5,27.0,28.5,38.0,67.26825266611978,0.2921174251929163
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,0.042817920315060876,0.0011582183155281417,-0.04308263824636349,36.0,4.0,38.0,2.0,4.0,65.95570139458572,0.1345351441558559
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,19.0,22.5,14.0,26.5,19.0,65.62756357670222,0.20321345225145676
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,0.0780443887615508,0.018056874208118162,-0.24003511326274884,7.0,15.0,29.0,33.0,33.0,65.29942575881871,0.21916937594238353
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,0.3005787817097677,0.011455159960520695,-0.31171900300634214,6.0,38.5,2.0,26.5,37.0,63.98687448728466,0.27917030841826745
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,37.0,2.0,32.0,3.0,2.0,61.19770303527482,0.12904556781048557
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,Moderate,0.21399784776051212,0.02108631625012804,-0.11291596329323073,22.0,12.0,12.0,36.5,9.0,60.29532403609517,0.1927064051369653
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,9.0,24.5,8.0,38.0,22.0,60.1312551271534,0.21952116319885415
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,35.0,1.0,31.0,7.0,1.0,59.39294503691551,0.1290435755950335
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,0.17729754927531766,0.048820404259577385,-0.15200013055606398,24.0,15.0,16.0,14.0,18.0,59.22887612797375,0.19107208897596129
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,0.1625385327998104,0.04189646272811975,-0.1982565826298267,18.0,12.0,20.0,19.0,27.0,58.90073831009024,0.19600483949857456
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,0.048824215945539845,0.06200180438267164,-0.5257422117012851,2.0,19.5,36.0,5.5,40.0,57.42411812961444,0.2771351379626376
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,21.0,10.0,11.0,24.5,23.0,55.701394585726014,0.19211519250390102
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,0.2719535450128533,0.005103525830528313,-0.16217208574644848,10.0,29.0,6.0,17.0,20.0,52.502050861361774,0.22869942052083106
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,0.2119482701352573,0.016232169761417024,-0.12588275606922517,20.0,9.0,13.0,12.0,12.0,45.44708777686628,0.1915870037972257
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,0.2698375144191807,0.023683558075848616,-0.11265729075028275,17.0,7.5,7.0,23.0,8.0,41.427399507793275,0.1896636779215802
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,0.2926358334175106,0.000549004250631731,-0.18188513572116294,8.0,17.0,3.0,15.0,25.0,39.37653814602133,0.2319675096004632
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,11.0,12.0,5.0,22.0,13.0,39.048400328137824,0.20642496841144062
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,1.0,18.0,1.0,21.0,36.0,38.55619360131256,0.2838814541332667
